prev_norm,m,curr_norm,converged
6.49499166526603e-06,13,5.832014140102004e-06,0
5.832014140102004e-06,11,5.2512750741672086e-06,0
5.2512750741672086e-06,1,5.19663379940446e-06,0
5.19663379940446e-06,15,4.466400746395523e-06,0
4.466400746395523e-06,17,3.831064623853395e-06,0
3.831064623853395e-06,10,3.5943308379581167e-06,0
3.5943308379581167e-06,9,3.4300188332993734e-06,0
3.4300188332993734e-06,1,3.4137550668929956e-06,0
3.4137550668929956e-06,15,2.775874270200809e-06,0
2.775874270200809e-06,7,2.3768099962063793e-06,0
2.3768099962063793e-06,17,1.7383404992541294e-06,0
1.7383404992541294e-06,8,1.3970569712973541e-06,0
1.3970569712973541e-06,11,1.300911935904784e-06,0
1.300911935904784e-06,6,1.2691576414316825e-06,0
1.2691576414316825e-06,4,1.2517991480504636e-06,0
1.2517991480504636e-06,15,3.4723174189364785e-07,1
15.264351394164182,14,2.5514084173865337,0
2.5514084173865337,2,2.4043305093711895,0
2.4043305093711895,10,1.7025068283337388,0
1.7025068283337388,15,1.242238658945422,0
1.242238658945422,15,1.0581696225435109,0
1.0581696225435109,16,0.9485822361614257,0
0.9485822361614257,9,0.9069715699062898,0
0.9069715699062898,16,0.7741622345990204,0
0.7741622345990204,5,0.730142509192711,0
0.730142509192711,7,0.7036029421653731,0
0.7036029421653731,4,0.6923667474871027,0
0.6923667474871027,9,0.6097079216683955,0
0.6097079216683955,8,0.5579963258417148,0
0.5579963258417148,5,0.5466149294586001,0
0.5466149294586001,15,0.3660039621039735,0
0.3660039621039735,6,0.32430772647439127,0
0.32430772647439127,6,0.29779594360639855,0
0.29779594360639855,3,0.28949640988007674,0
0.28949640988007674,9,0.16876076900232334,0
0.16876076900232334,6,0.12985112523386697,0
0.12985112523386697,8,0.11498853048547038,0
0.11498853048547038,5,0.11059625091214574,0
0.11059625091214574,15,0.06958490120560909,0
0.06958490120560909,18,0.032637188874292226,0
0.032637188874292226,10,0.02912391756000001,0
0.02912391756000001,13,0.02424246089847731,0
0.02424246089847731,17,0.01758650501943109,0
0.01758650501943109,19,0.014649375461454471,0
0.014649375461454471,12,0.011820775830055906,0
0.011820775830055906,17,0.009943931316435197,0
0.009943931316435197,18,0.00803227535931782,0
0.00803227535931782,16,0.006303810356745429,0
0.006303810356745429,9,0.005963021198329435,0
0.005963021198329435,2,0.005928732526099585,0
0.005928732526099585,1,0.005917002718525183,0
0.005917002718525183,10,0.005010937056954956,0
0.005010937056954956,10,0.0043359463657871205,0
0.0043359463657871205,8,0.004158533827426319,0
0.004158533827426319,11,0.0037780100615116582,0
0.0037780100615116582,11,0.0035028591715368386,0
0.0035028591715368386,16,0.0013114901336265415,0
0.0013114901336265415,3,0.0007517543898069567,0
0.0007517543898069567,5,0.0005464221551056792,0
0.0005464221551056792,16,0.00047648203848218355,0
0.00047648203848218355,17,0.0003765117849025419,0
0.0003765117849025419,19,0.0003128692771503208,0
0.0003128692771503208,17,0.0002737126944628308,0
